,Unnamed: 0.1,Unnamed: 0,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Region,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Revenues,EBITDA,Opex,EBIT,depreciation,date_installation,random_year
30,30,7073,7073,766634.0105357952,6995312.200282749,N0002,POINT (766634.0105357952 6995312.200282749),1.0,"0    21719.558571
dtype: float64",5.0,"0    8317.464241
dtype: float64",19147.86,0.00016847071227705086,187.00249062752647,561.0074718825795,Hauts-de-France,72364.34540186492,1,0,0,0,not profitable,204767.72723714152,0.0,0.0,0.0,0.0,2030,2030
32,32,9886,9886,620498.6118268396,7071480.038996157,N0042,POINT (620498.6118268396 7071480.038996157),1.0,"0    17682.070536
dtype: float64",5.0,"0    14023.896033
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,not profitable,0.0,0.0,0.0,0.0,0.0,2030,2030
33,33,2711,2711,682521.92620614,7033138.272157945,A0026,POINT (682521.92620614 7033138.272157945),1.0,"0    2001.879019
dtype: float64",5.0,"0    1233.144055
dtype: float64",156332.18,0.0013754745290817942,1526.7767272807916,4580.330181842375,Hauts-de-France,590816.7216047391,1,0,0,0,not profitable,1671820.516372467,0.0,0.0,0.0,0.0,2029,2029
36,36,9752,9752,732350.7996464126,6919783.86314571,N0031,POINT (732350.7996464126 6919783.86314571),1.0,"0    5336.166364
dtype: float64",5.0,"0    2751.608262
dtype: float64",8572.92,7.542806029990688e-05,83.72514693289664,251.17544079868992,Hauts-de-France,32399.116349427866,1,0,0,0,not profitable,91679.03589152182,0.0,0.0,0.0,0.0,2029,2029
37,37,337,337,732825.7668235832,6889049.994506723,A0004,POINT (732825.7668235832 6889049.994506723),1.0,"0    5061.959251
dtype: float64",5.0,"0    5059.073577
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
38,38,6861,6861,600316.1887571976,7070252.241951437,N0001,POINT (600316.1887571976 7070252.241951437),1.0,"0    116.378318
dtype: float64",5.0,"0    116.378318
dtype: float64",3017.08,2.6545505168559027e-05,29.46551073710052,88.39653221130156,Hauts-de-France,11402.267366956861,1,0,0,0,not profitable,32264.73425712507,0.0,0.0,0.0,0.0,2028,2028
39,39,2094,2094,644500.3631147849,6962148.064616367,A0016,POINT (644500.3631147849 6962148.064616367),1.0,"0    16356.664292
dtype: float64",5.0,"0    11031.155338
dtype: float64",42708.41,0.00037576607792830756,417.1003465004214,1251.301039501264,Hauts-de-France,161405.30235778107,1,0,0,0,not profitable,456724.8794179614,0.0,0.0,0.0,0.0,2028,2028
41,41,2745,2745,710878.1506211086,7003026.078450022,A0026,POINT (710878.1506211086 7003026.078450022),1.0,"0    8646.756707
dtype: float64",5.0,"0    7003.94971
dtype: float64",156332.18,0.0013754745290817942,1526.7767272807916,4580.330181842375,Hauts-de-France,590816.7216047391,1,0,0,0,not profitable,1671820.516372467,0.0,0.0,0.0,0.0,2028,2028
43,43,147,147,691653.3821584142,6991464.557987248,A0001,POINT (691653.3821584142 6991464.557987248),1.0,"0    24762.655174
dtype: float64",5.0,"0    12487.890019
dtype: float64",333120.37,0.0029309294097562195,3253.3316448294036,9759.994934488212,Hauts-de-France,1258941.6005275284,0,0,0,1,large,3562398.1510881972,3352398.1510881972,210000.0,2152398.1510881972,-1200000.0,2024,2024
46,46,6936,6936,719307.3962199729,6915450.922265546,N0002,POINT (719307.3962199729 6915450.922265546),1.0,"0    7068.218318
dtype: float64",5.0,"0    7068.218318
dtype: float64",19147.86,0.00016847071227705086,187.00249062752647,561.0074718825795,Hauts-de-France,72364.34540186492,1,0,0,0,not profitable,204767.72723714152,0.0,0.0,0.0,0.0,2028,2028
